Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter
97	20481	1	1	16385	20481	1	1	1	20481	1	1	1
98	20481	1	1	16385	20481	1	1	1	20481	1	1	1
99	20481	1	1	16385	20481	1	1	1	20481	1	1	1
100	20481	1	1	16385	20481	1	1	1	20481	1	1	1
101	20481	1	1	16385	20481	1	1	1	20481	1	1	1
102	20481	1	1	16385	20481	1	1	1	20481	1	1	1
103	20481	1	1	16385	20481	1	1	1	20481	1	1	1
104	20481	1	1	16385	20481	1	1	1	20481	1	1	1
105	20481	1	1	16385	20481	1	1	1	20481	1	1	1
106	20481	1	1	16385	20481	1	1	1	20481	1	1	1
107	20481	1	1	16385	20481	1	1	1	20481	1	1	1
108	20481	1	1	16385	20481	1	1	1	20481	1	1	1
109	20481	1	1	16385	20481	1	1	1	20481	1	1	1
110	20481	1	1	16385	20481	1	1	1	20481	1	1	1
111	20481	1	1	16385	20481	1	1	1	20481	1	1	1
112	20481	1	1	16385	20481	1	1	1	20481	1	1	1
113	20481	1	1	16385	20481	1	1	1	20481	1	1	1
114	20481	1	1	16385	20481	1	1	1	20481	1	1	1
115	20481	1	1	16385	20481	1	1	1	20481	1	1	1
116	20481	1	1	16385	20481	1	1	1	20481	1	1	1
117	20481	1	1	16385	20481	1	1	1	20481	1	1	1
118	20481	1	1	16385	20481	1	1	1	20481	1	1	1
119	20481	1	1	16385	20481	1	1	1	20481	1	1	1
120	20481	1	1	16385	20481	1	1	1	20481	1	1	1
121	20481	1	1	16385	20481	1	1	1	20481	1	1	1
122	20481	1	1	16385	20481	1	1	1	20481	1	1	1
123	20481	1	1	16385	20481	1	1	1	20481	1	1	1
